t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606367306,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367309,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367312,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367315,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367318,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367321,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367324,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367327,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367330,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367333,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367336,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367339,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367342,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367345,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367348,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367351,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367354,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367357,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367360,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367363,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367366,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367369,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367372,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367375,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367378,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367381,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367384,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367387,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367390,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367393,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367396,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367399,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367402,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367405,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367408,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367411,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367414,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367417,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367420,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367423,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367426,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367429,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367432,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367435,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367438,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367441,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367444,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367447,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367450,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367453,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367456,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367459,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367462,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367465,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367468,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367471,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367474,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367477,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367480,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367483,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367486,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367489,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367492,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367495,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367498,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367501,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367504,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367507,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367510,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367513,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367516,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367519,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367522,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367525,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367528,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367531,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367534,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367537,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367540,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367543,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367546,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367549,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367552,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367555,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367558,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367561,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367564,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367567,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367570,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367573,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367576,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367579,0,0.000000,0.000000,0.000000,0.000000,events/second
1606367582,0,0.000000,0.000000,0.000000,0.000000,events/second
