t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606364210,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364213,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364216,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364219,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364222,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364225,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364228,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364231,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364234,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364237,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364240,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364243,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364246,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364249,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364252,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364255,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364258,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364261,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364264,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364267,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364270,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364273,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364276,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364279,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364282,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364285,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364288,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364291,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364294,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364297,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364300,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364303,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364306,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364309,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364312,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364315,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364318,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364321,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364324,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364327,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364330,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364333,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364336,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364339,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364342,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364345,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364348,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364351,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364354,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364357,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364360,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364363,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364366,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364369,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364372,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364375,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364378,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364381,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364384,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364387,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364390,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364393,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364396,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364399,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364402,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364405,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364408,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364411,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364414,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364417,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364420,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364423,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364426,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364429,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364432,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364435,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364438,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364441,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364444,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364447,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364450,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364453,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364456,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364459,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364462,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364465,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364468,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364471,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364474,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364477,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364480,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364483,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364486,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364489,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364492,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364495,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364498,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364501,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364504,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364507,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364510,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364513,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364516,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364519,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364522,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364525,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364528,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364531,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364534,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364537,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364540,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364543,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364546,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364549,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364552,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364555,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364558,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364561,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364564,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364567,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364570,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364573,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364576,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364579,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364582,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364585,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364588,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364591,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364594,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364597,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364600,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364603,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364606,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364609,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364612,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364615,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364618,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364621,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364624,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364627,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364630,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364633,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364636,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364639,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364642,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364645,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364648,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364651,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364654,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364657,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364660,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364663,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364666,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364669,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364672,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364675,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364678,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364681,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364684,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364687,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364690,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364693,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364696,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364699,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364702,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364705,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364708,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364711,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364714,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364717,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364720,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364723,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364726,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364729,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364732,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364735,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364738,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364741,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364744,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364747,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364750,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364753,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364756,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364759,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364762,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364765,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364768,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364771,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364774,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364777,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364780,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364783,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364786,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364789,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364792,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364795,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364798,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364801,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364804,0,0.000000,0.000000,0.000000,0.000000,events/second
1606364807,0,0.000000,0.000000,0.000000,0.000000,events/second
